Date,Open,High,Low,Close,Daily_Return,Volume
30/05/2018," Rp583,504 "," Rp586,067 "," Rp582,246 "," Rp585,078 ",0.008017135,50845
31/05/2018," Rp585,689 "," Rp588,301 "," Rp583,709 "," Rp585,284 ",0.000353141,4082
01/06/2018," Rp581,632 "," Rp582,035 "," Rp577,288 "," Rp579,930 ",-0.009147802,663
04/06/2018," Rp579,610 "," Rp581,044 "," Rp577,863 "," Rp579,252 ",-0.001169624,144
05/06/2018," Rp592,741 "," Rp596,274 "," Rp591,732 "," Rp595,219 ",0.027564153,357
06/06/2018," Rp594,393 "," Rp596,365 "," Rp593,476 "," Rp594,851 ",-0.000616608,373
07/06/2018," Rp587,470 "," Rp589,461 "," Rp586,475 "," Rp587,606 ",-0.012180266,79
08/06/2018," Rp586,068 "," Rp587,923 "," Rp585,841 "," Rp587,335 ",-0.000461982,650
11/06/2018," Rp582,447 "," Rp583,657 "," Rp580,609 "," Rp582,268 ",-0.008626917,71
12/06/2018," Rp582,609 "," Rp582,744 "," Rp580,320 "," Rp581,397 ",-0.001495375,153
13/06/2018," Rp583,691 "," Rp586,126 "," Rp582,292 "," Rp584,999 ",0.006194957,135
14/06/2018," Rp590,105 "," Rp594,882 "," Rp590,105 "," Rp593,199 ",0.014017181,42
15/06/2018," Rp590,285 "," Rp595,063 "," Rp579,728 "," Rp580,001 ",-0.022248992,589
18/06/2018," Rp583,168 "," Rp583,168 "," Rp581,119 "," Rp581,119 ",0.001927331,35
19/06/2018," Rp584,600 "," Rp586,018 "," Rp580,577 "," Rp583,183 ",0.003552552,34
20/06/2018," Rp581,848 "," Rp581,848 "," Rp580,387 "," Rp580,387 ",-0.004794944,7
21/06/2018," Rp575,215 "," Rp578,039 "," Rp573,985 "," Rp577,265 ",-0.005378884,46
22/06/2018," Rp575,840 "," Rp576,794 "," Rp575,341 "," Rp575,522 ",-0.003018563,74
25/06/2018," Rp575,096 "," Rp575,368 "," Rp572,833 "," Rp572,833 ",-0.004672511,37
26/06/2018," Rp570,787 "," Rp570,787 "," Rp566,012 "," Rp566,012 ",-0.011907134,89
27/06/2018," Rp566,284 "," Rp566,284 "," Rp564,841 "," Rp565,066 ",-0.001671902,1162
28/06/2018," Rp562,477 "," Rp562,477 "," Rp559,377 "," Rp560,725 ",-0.007682874,378
29/06/2018," Rp557,949 "," Rp559,288 "," Rp557,413 "," Rp558,395 ",-0.004154502,48
02/07/2018," Rp560,101 "," Rp560,101 "," Rp555,575 "," Rp555,575 ",-0.005050171,29
